Date,Departure,Arrival,Time,Type,Basic,Confort,Premium
2023-11-14,15.00,16.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-14,15.50,17.59,2 h. 9 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-14,17.00,18.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-14,18.00,19.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-14,19.08,21.26,2 h. 18 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-14,19.50,22.01,2 h. 11 min.,AVANT-MD,"desde 12,20 €",No disponible,No disponible
2023-11-14,21.15,22.51,1 h. 36 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-14,22.10,23.46,1 h. 36 min.,MD-LD,"desde 14,55 €","desde 27,70 €",No disponible
2023-11-15,05.35,07.41,2 h. 6 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-15,07.00,08.33,1 h. 33 min.,MD,Tren Completo,No disponible,No disponible
2023-11-15,08.00,09.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-15,09.00,10.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,09.30,11.40,2 h. 10 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-15,11.00,12.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,12.00,13.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,12.40,14.54,2 h. 14 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-15,14.00,16.44,2 h. 44 min.,MD-MD,"desde 12,20 €",No disponible,No disponible
2023-11-15,14.00,15.30,1 h. 30 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,15.00,16.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,15.50,17.59,2 h. 9 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-15,17.00,18.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,18.00,19.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-15,19.08,21.26,2 h. 18 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-15,19.50,22.01,2 h. 11 min.,AVANT-MD,"desde 12,20 €",No disponible,No disponible
2023-11-15,21.15,22.51,1 h. 36 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-15,22.10,23.46,1 h. 36 min.,MD-LD,"desde 14,55 €","desde 27,70 €",No disponible
2023-11-16,05.35,07.41,2 h. 6 min.,REGIONAL,Tren Completo,No disponible,No disponible
2023-11-16,07.00,08.33,1 h. 33 min.,MD,Tren Completo,No disponible,No disponible
2023-11-16,08.00,09.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-16,09.00,10.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-16,09.30,11.40,2 h. 10 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-16,11.00,12.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-16,12.00,13.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-16,12.40,14.54,2 h. 14 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-16,14.00,16.44,2 h. 44 min.,MD-MD,"desde 12,20 €",No disponible,No disponible
2023-11-16,14.00,15.30,1 h. 30 min.,MD,Tren Completo,No disponible,No disponible
2023-11-16,15.00,16.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-16,15.50,17.59,2 h. 9 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-16,17.00,18.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-16,18.00,19.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-16,19.08,21.26,2 h. 18 min.,REGIONAL,Tren Completo,No disponible,No disponible
2023-11-16,19.50,22.01,2 h. 11 min.,AVANT-MD,"desde 12,20 €",No disponible,No disponible
2023-11-16,21.15,22.51,1 h. 36 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-16,22.10,23.46,1 h. 36 min.,MD-LD,"desde 14,55 €","desde 27,70 €",No disponible
2023-11-17,05.35,07.41,2 h. 6 min.,REGIONAL,Tren Completo,No disponible,No disponible
2023-11-17,07.00,08.33,1 h. 33 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,08.00,09.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,09.00,10.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-17,09.30,11.40,2 h. 10 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-17,11.00,12.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,12.00,13.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,12.40,14.54,2 h. 14 min.,REGIONAL,Tren Completo,No disponible,No disponible
2023-11-17,14.00,16.44,2 h. 44 min.,MD-MD,Tren Completo,No disponible,No disponible
2023-11-17,14.00,15.30,1 h. 30 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,15.00,16.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
2023-11-17,15.50,17.59,2 h. 9 min.,REGIONAL,Tren Completo,No disponible,No disponible
2023-11-17,17.00,18.20,1 h. 20 min.,MD,Tren Completo,No disponible,No disponible
